Sand_Type,Interface_Mode,Normal_Stress_sigma_n_kPa,Bedding_Angle_theta_deg,Shear_Displacement_u_mm,Shear_Stress_tau_kPa,Data_Type
Crushed Sand,Sand-Concrete,109,0,0.1,11.975,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.15,17.962,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.2,23.95,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.25,29.937,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.3,35.924,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.35,41.912,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.4,47.899,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.45,53.887,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.5,59.874,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.59,59.694,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.68,59.515,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.77,59.335,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.86,59.156,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,0.95,58.976,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,1.04,58.796,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,1.13,58.617,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,1.22,58.437,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,1.31,58.257,experimental_digitised
Crushed Sand,Sand-Concrete,109,0,1.4,58.078,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.05,6.21,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.1,12.42,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.15,18.629,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.2,24.839,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.25,31.049,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.3,37.259,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.35,43.468,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.4,49.677,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.45,55.887,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.5,62.097,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.59,61.911,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.68,61.725,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.77,61.539,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.86,61.352,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,0.95,61.166,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,1.04,60.979,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,1.13,60.793,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,1.22,60.607,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,1.31,60.421,experimental_digitised
Crushed Sand,Sand-Concrete,109,15,1.4,60.234,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.05,6.347,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.1,12.693,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.15,19.039,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.2,25.386,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.25,31.733,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.3,38.079,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.35,44.426,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.4,50.772,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.45,57.119,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.5,63.465,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.59,63.275,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.68,63.085,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.77,62.894,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.86,62.704,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,0.95,62.513,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,1.04,62.323,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,1.13,62.133,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,1.22,61.942,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,1.31,61.752,experimental_digitised
Crushed Sand,Sand-Concrete,109,30,1.4,61.561,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0,0,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.05,6.534,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.1,13.068,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.15,19.601,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.2,26.135,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.25,32.67,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.3,39.203,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.35,45.737,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.4,52.271,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.45,58.805,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.5,65.338,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.59,65.142,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.68,64.946,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.77,64.75,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.86,64.554,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,0.95,64.359,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,1.04,64.163,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,1.13,63.967,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,1.22,63.77,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,1.31,63.574,experimental_digitised
Crushed Sand,Sand-Concrete,109,45,1.4,63.378,experimental_digitised
